Entity,Code,Year,gasprod_twh,gas_milio_m3
Africa,,2019,2379.4,243552.0
Algeria,DZA,2019,862.4,88275.3
Argentina,ARG,2019,416.2,42597.9
Asia Pacific,,2019,6721.3,687994.4
Australia,AUS,2019,1534.6,157085.9
Azerbaijan,AZE,2019,243.2,24892.1
Bahrain,BHR,2019,169.0,17298.3
Bangladesh,BGD,2019,287.1,29383.5
Bolivia,BOL,2019,149.5,15303.2
Brazil,BRA,2019,258.2,26427.7
Brunei,BRN,2019,129.8,13286.4
CIS,,2019,8465.1,866491.2
Canada,CAN,2019,1731.0,177189.6
China,CHN,2019,1775.6,181746.2
Colombia,COL,2019,131.9,13505.3
Denmark,DNK,2019,32.0,3278.2
Egypt,EGY,2019,649.4,66471.2
Europe,,2019,2358.8,241444.7
Europe (other),,2019,73.7,7539.1
Germany,DEU,2019,53.3,5456.6
India,IND,2019,269.1,27541.6
Indonesia,IDN,2019,675.4,69136.4
Iran,IRN,2019,2441.6,249917.4
Iraq,IRQ,2019,107.8,11033.4
Italy,ITA,2019,46.2,4730.4
Kazakhstan,KAZ,2019,234.0,23948.9
Kuwait,KWT,2019,184.0,18831.6
Libya,LBY,2019,94.3,9657.3
Malaysia,MYS,2019,788.1,80670.1
Mexico,MEX,2019,339.9,34792.2
Middle East,,2019,6953.2,711733.4
Myanmar,MMR,2019,170.7,17470.3
Netherlands,NLD,2019,280.9,28753.2
Nigeria,NGA,2019,492.8,50442.2
North America,,2019,11279.8,1154595.8
Norway,NOR,2019,1143.9,117085.0
Oman,OMN,2019,363.4,37197.0
Other Africa,,2019,280.4,28705.9
Other Asia & Pacific,,2019,296.0,30302.8
Other CIS,,2019,3.2,324.1
Other Middle East,,2019,101.4,10383.6
Other S. & Cent. America,,2019,34.8,3564.2
Pakistan,PAK,2019,338.7,34669.0
Peru,PER,2019,135.0,13818.6
Poland,POL,2019,39.9,4080.1
Qatar,QAT,2019,1781.3,182332.4
Romania,ROU,2019,96.8,9904.7
Russia,RUS,2019,6790.5,695070.6
Saudi Arabia,SAU,2019,1136.4,116326.4
South & Central America,,2019,1735.8,177673.6
Syria,SYR,2019,37.3,3815.3
Thailand,THA,2019,357.7,36616.9
Trinidad and Tobago,TTO,2019,345.6,35376.5
Turkmenistan,TKM,2019,631.6,64653.8
Ukraine,UKR,2019,195.9,20053.0
United Arab Emirates,ARE,2019,625.3,64006.6
United Kingdom,GBR,2019,396.3,40564.6
United States,USA,2019,9208.8,942614.1
Uzbekistan,UZB,2019,562.7,57601.6
Venezuela,VEN,2019,264.6,27080.1
Vietnam,VNM,2019,98.5,10085.3
World,OWID_WRL,2019,39893.4,4083485.2
Yemen,YEM,2019,5.8,591.5
